Name,Price,Info
Bmw 318 '86,13000.0,"1/1986, 111.111 χλμ, 4.400 cc, 285 bhp, Βενζίνη"
Opel Astra '00 Caravan,3500.0,"1/2000, 306.000 χλμ, 1.600 cc, 105 bhp, Φυσικό αέριο(cng) - βενζίνη"
Mitsubishi Lancer '09,7100.0,"5/2009, 224 χλμ, 1.798 cc, 143 bhp, Αέριο(lpg) - βενζίνη"
Fiat 131 '78 Mirafiori,2600.0,"1/1978, 84.546 χλμ, 1.600 cc, 1 bhp, Αυτόματο, Βενζίνη"
Opel Astra '00,1100.0,"1/2000, 120.000 χλμ, 1.400 cc, 90 bhp, Βενζίνη"
Mercedes-Benz SLK 230 '12 Look amg,29999.0,"1/2012, 86.000 χλμ, 1.800 cc, 230 bhp, Αυτόματο, Βενζίνη"
Fiat Panda '14 Euro 6 ΜΗΔΕΝΙΚΑ ΤΕΛΗ,7450.0,"10/2014, 96.000 χλμ, 900 cc, 65 bhp, Βενζίνη"
Renault Kangoo '17 Euro 6,10980.0,"11/2017, 94.000 χλμ, 1.461 cc, 75 bhp, Πετρέλαιο, ΤΙΜΗ ΧΩΡΙΣ ΦΠΑ"
Hyundai i 20 '15  Coupe 1.4 Style full extra,10850.0,"9/2015, 98.000 χλμ, 1.400 cc, 101 bhp, Βενζίνη"
Renault Clio '18 Limited edition navi,10890.0,"12/2018, 137.000 χλμ, 900 cc, 90 bhp, Βενζίνη"
Ford Transit '18  350 L3 2.0 TDCi Trend FWD,18900.0,"8/2018, 205.000 χλμ, 1.996 cc, 131 bhp, Πετρέλαιο"
Hyundai i 20 '16 Euro 6 full extra,10980.0,"10/2016, 99.000 χλμ, 1.100 cc, 75 bhp, Πετρέλαιο"
Opel Corsa '16 Automatic euro 6 ΟΘΟΝΗ,12750.0,"4/2016, 62.500 χλμ, 1.400 cc, 90 bhp, Αυτόματο, Βενζίνη"
Ford Fiesta '18 St line,13890.0,"8/2018, 120.000 χλμ, 1.000 cc, 125 bhp, Βενζίνη"
Ford Fiesta '15 Euro 6,7990.0,"8/2015, 92.000 χλμ, 1.242 cc, 82 bhp, Βενζίνη"
Kia Sportage '22 1.6cc 180ps 7DCT 48V MILD HYBRID TITANIUM,31500.0,"2/2022, 28.500 χλμ, 1.600 cc, 180 bhp, Αυτόματο, Υβριδικό βενζίνη"
Opel Astra '10 J,6500.0,"1/2010, 237.000 χλμ, 1.686 cc, 110 bhp, Πετρέλαιο"
Opel Corsa '15 Full extra Ηλιοροφή/Οθονη,9450.0,"1/2015, 97.000 χλμ, 1.300 cc, 95 bhp, Πετρέλαιο"
Fiat Qubo '15 ΑΥΤΟΜΑΤΟ ΜΟΝΑΔΙΚΟ,11500.0,"11/2015, 137.009 χλμ, 1.300 cc, 95 bhp, Αυτόματο, Πετρέλαιο"
Ford Fiesta '18,9450.0,"8/2018, 141.000 χλμ, 1.499 cc, 86 bhp, Πετρέλαιο"
Mazda MX-5 '99 VVTI,3600.0,"1/1999, 202.000 χλμ, 1.600 cc, 115 bhp, Βενζίνη"
Ferrari 308 '78,55000.0,"1/1978, 36.500 χλμ, 2.930 cc, 250 bhp, Βενζίνη"
Toyota Auris '13 1.3!!ΕΛΛΗΝΙΚΟ!!ΚΑΙΝΟΥΡΙΟ!!,11400.0,"3/2013, 141.000 χλμ, 1.329 cc, 101 bhp, Βενζίνη"
Hyundai Matrix '04 L,3000.0,"1/2004, 215.000 χλμ, 1.600 cc, 115 bhp, Βενζίνη"
Jeep Cherokee '00 Xj,12000.0,"1/2000, 195.000 χλμ, 2.500 cc, 120 bhp, Βενζίνη"
Mercedes-Benz A 200 '14,18900.0,"1/2014, 97.000 χλμ, 1.595 cc, 156 bhp, Βενζίνη"
Bmw 520 '02,3900.0,"1/2002, 185.250 χλμ, 2.171 cc, 170 bhp, Αυτόματο, Βενζίνη"
Hyundai i 20 '13,7800.0,"1/2013, 175.000 χλμ, 1.100 cc, 75 bhp, Πετρέλαιο"
Volkswagen Eos '07,8000.0,"9/2007, 167.600 χλμ, 1.598 cc, 115 bhp, Βενζίνη"
Skoda Octavia '10,10500.0,"12/2010, 90.000 χλμ, 1.798 cc, 1 bhp, Βενζίνη"
Ford Fiesta '12 1.25,6500.0,"3/2012, 229.000 χλμ, 1.242 cc, 82 bhp, Βενζίνη"
Ford Fiesta '14 ΜΗΔΕΝΙΚΑ ΤΕΛΗ!ΕΛ/ΚΟ!ΚΑΙΝΟΥΡΙΟ!,8600.0,"9/2014, 122.000 χλμ, 1.550 cc, 95 bhp, Πετρέλαιο"
Opel Meriva '11  1.3 CDTI ecoFlex DPF Cosmo,7500.0,"1/2011, 175.000 χλμ, 1.300 cc, 95 bhp, Πετρέλαιο"
Opel Astra '07  Twintop cabrio,10000.0,"12/2007, 70.000 χλμ, 1.800 cc, 150 bhp, Βενζίνη"
Mazda MX-5 '07 SVP,10000.0,"11/2007, 100.000 χλμ, 1.800 cc, 150 bhp, Βενζίνη"
Bmw 316 '10 E90 LCI,14999.0,"1/2010, 139.800 χλμ, 1.600 cc, 170 bhp, Βενζίνη"
Suzuki Grand Vitara '08 ΕΛ/ΚΟ!NAVI!CAMERA!ΔΕΡΜΑ!ΑΕΡΙΟ!,8200.0,"2/2008, 173.000 χλμ, 1.995 cc, 140 bhp, Αέριο(lpg) - βενζίνη"
Volkswagen Jetta '08 GT,7999.0,"2/2008, 177.712 χλμ, 1.390 cc, 170 bhp, Βενζίνη"
Opel Grandland (X) '19,18700.0,"1/2019, 89.500 χλμ, 1.600 cc, 120 bhp, Πετρέλαιο"
Bmw 320 '07 E92,11500.0,"8/2007, 218.000 χλμ, 1.995 cc, 170 bhp, Βενζίνη"
Toyota Yaris '01,3000.0,"7/2001, 250.000 χλμ, 1.000 cc, 68 bhp, Βενζίνη"
Ford Aerostar '22,52000.0,"1/2022, 365.978 χλμ, 2.000 cc, 132 bhp, Βενζίνη"
Chevrolet Aveo '09,4000.0,"11/2009, 170.000 χλμ, 1.206 cc, 84 bhp, Βενζίνη"
Bmw 320 '07 E92,11500.0,"8/2007, 218.000 χλμ, 1.995 cc, 170 bhp, Βενζίνη"
Toyota Yaris '01,3000.0,"7/2001, 250.000 χλμ, 1.000 cc, 68 bhp, Βενζίνη"
Fiat Seicento '01,1500.0,"9/2001, 200.000 χλμ, 900 cc, 55 bhp, Βενζίνη"
Opel Insignia '09,15900.0,"6/2009, 9.400 χλμ, 1.800 cc, 140 bhp, Βενζίνη"
Toyota Aygo '15 X-CITY!!!ΚΑΙΝΟΥΡΙΟ!!!,7800.0,"3/2015, 123.000 χλμ, 998 cc, 69 bhp, Βενζίνη"
Volvo S80 '07,4800.0,"1/2007, 195.250 χλμ, 1.984 cc, 185 bhp, Βενζίνη"
Toyota Yaris '19  1.5 Hybrid  EURO 6,14500.0,"6/2019, 75.900 χλμ, 1.500 cc, 100 bhp, Αυτόματο, Υβριδικό βενζίνη"
Opel Meriva '11  1.3 CDTI ecoFlex DPF Cosmo,7500.0,"1/2011, 175.000 χλμ, 1.300 cc, 95 bhp, Πετρέλαιο"
Audi A4 '09 TDI Άριστο,9800.0,"9/2009, 276.000 χλμ, 2.000 cc, 170 bhp, Αυτόματο, Πετρέλαιο"
Opel Astra '17 Dynamic,13900.0,"4/2017, 139.960 χλμ, 1.598 cc, 136 bhp, Πετρέλαιο"
Mercedes-Benz 320 '02,3200.0,"1/2002, 320.000 χλμ, 1.400 cc, 90 bhp, Βενζίνη"
Jeep Cherokee '01 Xj,13000.0,"1/2001, 280 χλμ, 2.500 cc, 128 bhp, Αέριο(lpg) - βενζίνη"
